Surf,X-coordinate,Y-coordinate,Z-coordinate,X-cosine,Y-cosine,Z-cosine,X-normal,Y-normal,Z-normal,Angle in,Path length,Comment,InputAngle
6,0.0,2.1726339588,2.7811231814,0.0,0.6630085491,0.7486118245,-0.0,-0.3091002074,-0.9510294747,22.050856656,3.631740068,Lens Back / Vitreous,50.0
7,0.0,10.923468966,12.661808084,0.0,0.6630085491,0.7486118245,-0.0,-0.9365856566,-0.3504387363,27.956119981,13.198675974,Retina,50.0
OBJ,inf,inf,inf,0.0,0.8660254038,0.5,,,,,,,60.0
1,0.0,-7.5119658413,-4.9065,0.0,0.8660254038,0.5,0.0,0.0,-1.0,60.0,-0.0,Input beam,60.0
2,0.0,-3.9374710643,-2.8427644783,0.0,0.7794624118,0.6264489992,0.0,-0.496819573,-0.867853854,30.210193228,4.1274710434,Cornea Front,60.0
3,0.0,-3.3574295372,-2.37658878,0.0,0.7857811668,0.6185046144,0.0,-0.5276067953,-0.8494887107,19.36748287,0.74415586738,Cornea Back / Aqueous,60.0
4,0.0,-0.33808471575,0.0,0.0,0.7857811668,0.6185046144,0.0,0.0,-1.0,51.792984463,3.8424754234,Pupil,60.0
5,0.0,-0.3312548962,0.0053758922818,0.0,0.7426982154,0.6696262844,0.0,-0.0324224709,-0.9994742535,49.934988098,0.0086917577607,Lens Front,60.0
6,0.0,2.5885138959,2.6378770712,0.0,0.7649945314,0.6440367745,-0.0,-0.340908731,-0.9400963978,28.029523657,3.9312990546,Lens Back / Vitreous,60.0
7,0.0,11.566389056,10.196207912,0.0,0.7649945314,0.6440367745,-0.0,-0.9884008576,-0.1518675238,31.358326659,11.735868416,Retina,60.0
OBJ,inf,inf,inf,0.0,0.9396926208,0.3420201433,,,,,,,70.0
1,0.0,-11.915907105,-4.9065,0.0,0.9396926208,0.3420201433,0.0,0.0,-1.0,70.0,-0.0,Input beam,70.0
2,0.0,-4.7642391678,-2.3035057454,0.0,0.8667375012,0.4987645778,0.0,-0.5933606579,-0.804936724,33.60414486,7.6106460552,Cornea Front,70.0
3,0.0,-4.0429942351,-1.8884649471,0.0,0.8722307107,0.4890946608,0.0,-0.6296702127,-0.776862551,21.055905652,0.83213767919,Cornea Back / Aqueous,70.0
4,0.0,-0.67518580265,0.0,0.0,0.8722307107,0.4890946608,0.0,0.0,-1.0,60.718906386,3.8611440655,Pupil Vignetted,70.0
5,0.0,-0.63950835147,0.020005774469,0.0,0.8275628132,0.5613731292,0.0,-0.0623145242,-0.9980565616,57.146232425,0.040903686078,Lens Front,70.0
6,0.0,2.9937701725,2.4846222379,0.0,0.8514234551,0.5244788844,-0.0,-0.3655377873,-0.9307965009,34.408505144,4.3903356528,Lens Back / Vitreous,70.0
7,0.0,11.703115207,7.8495996064,0.0,0.8514234551,0.5244788844,0.0,-0.9993524676,0.0359811831,33.695183656,10.229157986,Retina,70.0
OBJ,inf,inf,inf,0.0,0.984807753,0.1736481777,,,,,,,80.0
1,0.0,-24.596550586,-4.9065,0.0,0.984807753,0.1736481777,0.0,0.0,-1.0,80.0,-0.0,Input beam,80.0
2,0.0,-5.6420218954,-1.5643051853,0.0,0.9346155986,0.355659504,0.0,-0.6914877151,-0.7223882196,36.252009914,19.246932848,Cornea Front,80.0
