Surf,X-coordinate,Y-coordinate,Z-coordinate,X-cosine,Y-cosine,Z-cosine,X-normal,Y-normal,Z-normal,Anglein,Pathlength,Comment,Unnamed: 13,InputAngle
4,0.0,-0.33808471575,0.0,0.0,0.7857811668,0.6185046144,"0,0000000000",0.0,-1.0,51.792984463,3.8424754234,Pupil,,60.0
5,0.0,-0.3312548962,0.0053758922818,0.0,0.7426982154,0.6696262844,"0,0000000000",-0.0324224709,-0.9994742535,49.934988098,0.0086917577607,LensFront,,60.0
6,0.0,2.5885138959,2.6378770712,0.0,0.7649945314,0.6440367745,"-0,0000000000",-0.340908731,-0.9400963978,28.029523657,3.9312990546,LensBack/Vitreous,,60.0
7,0.0,11.758283375,10.357760698,0.0,0.7649945314,0.6440367745,"-0,0000000000",-0.9876608846,-0.1566077169,31.083444015,11.986712457,Retina,,60.0
OBJ,inf,inf,inf,0.0,0.9396926208,0.3420201433,-----,,,,,,,70.0
1,0.0,-11.915907105,-4.9065,0.0,0.9396926208,0.3420201433,"0,0000000000",0.0,-1.0,70.0,-0.0,Inputbeam,,70.0
2,0.0,-4.7642391678,-2.3035057454,0.0,0.8667375012,0.4987645778,"0,0000000000",-0.5933606579,-0.804936724,33.60414486,7.6106460552,CorneaFront,,70.0
3,0.0,-4.0429942351,-1.8884649471,0.0,0.8722307107,0.4890946608,"0,0000000000",-0.6296702127,-0.776862551,21.055905652,0.83213767919,CorneaBack/Aqueous,,70.0
4,0.0,-0.67518580265,0.0,0.0,0.8722307107,0.4890946608,"0,0000000000",0.0,-1.0,60.718906386,3.8611440655,PupilVignetted,,70.0
5,0.0,-0.63950835147,0.020005774469,0.0,0.8275628132,0.5613731292,"0,0000000000",-0.0623145242,-0.9980565616,57.146232425,0.040903686078,LensFront,,70.0
6,0.0,2.9937701725,2.4846222379,0.0,0.8514234551,0.5244788844,"-0,0000000000",-0.3655377873,-0.9307965009,34.408505144,4.3903356528,LensBack/Vitreous,,70.0
7,0.0,11.893538725,7.9669009489,0.0,0.8514234551,0.5244788844,"0,0000000000",-0.9990219324,0.0442174019,34.167465427,10.452811113,Retina,,70.0
OBJ,inf,inf,inf,0.0,0.984807753,0.1736481777,-----,,,,,,,80.0
1,0.0,-24.596550586,-4.9065,0.0,0.984807753,0.1736481777,"0,0000000000",0.0,-1.0,80.0,-0.0,Inputbeam,,80.0
2,0.0,-5.6420218954,-1.5643051853,0.0,0.9346155986,0.355659504,"0,0000000000",-0.6914877151,-0.7223882196,36.252009914,19.246932848,CorneaFront,,80.0
3,0.0,-4.7520837897,-1.2256472967,0.0,0.9387238991,0.344670047,"0,0000000000",-0.7321530251,-0.6811401822,22.098936015,0.95219693204,CorneaBack/Aqueous,,80.0
4,0.0,-1.413979944,0.0,0.0,0.9387238991,0.344670047,"0,0000000000",0.0,-1.0,69.838344486,3.5560017689,PupilVignetted,,80.0
5,0.0,-1.2175467872,0.07212410962,0.0,0.8975577584,0.4408968931,"0,0000000000",-0.1167901335,-0.9931566164,63.131456489,0.20925551917,LensFront,,80.0
6,0.0,3.3774807214,2.3292862067,0.0,0.9211500455,0.3892076485,"-0,0000000000",-0.3842507927,-0.9232287519,41.241643112,5.1194783462,LensBack/Vitreous,,80.0
7,0.0,11.597047953,5.8022474786,0.0,0.9211500455,0.3892076485,"0,0000000000",-0.974117588,0.2260418649,35.969357082,8.9231578197,Retina,,80.0
OBJ,inf,inf,inf,0.0,0.0871557427,0.9961946981,-----,,,,,,,5.0
1,0.0,-0.37944143961,-4.9065,0.0,0.0871557427,0.9961946981,"0,0000000000",0.0,-1.0,5.0,-0.0,Inputbeam,,5.0
2,0.0,-0.29146980155,-3.9009795757,0.0,0.0736512607,0.9972840577,"0,0000000000",-0.037863196,-0.9992829321,2.830079987,1.0093613489,CorneaFront,,5.0
3,0.0,-0.25003925512,-3.3399841077,0.0,0.0746176466,0.9972122175,"0,0000000000",-0.0401023725,-0.9991955763,1.92541789,0.56252324875,CorneaBack/Aqueous,,5.0
4,0.0,-0.00012078298159,0.0,0.0,0.0746176466,0.9972122175,"0,0000000000",0.0,-1.0,4.27925351,3.3493212868,Pupil,,5.0
5,0.0,-0.00012078292808,7.1512331933e-10,0.0,0.0702583864,0.9975288262,"0,0000000000",-1.18415e-05,-0.9999999999,4.278575044,7.1712250085e-10,LensFront,,5.0
6,0.0,0.22282983991,3.1654537551,0.0,0.0721232539,0.997395727,"-0,0000000000",-0.0407171432,-0.9991707133,1.695262648,3.173295519,LensBack/Vitreous,,5.0
7,0.0,1.4624583873,20.308332772,0.0,0.0721232539,0.997395727,"-0,0000000000",-0.1228421614,-0.9924262206,2.920211283,17.187640325,Retina,,5.0
OBJ,inf,inf,inf,0.0,0.2588190451,0.9659258263,-----,,,,,,,15.0
1,0.0,-1.1621051599,-4.9065,0.0,0.2588190451,0.9659258263,"0,0000000000",0.0,-1.0,15.0,-0.0,Inputbeam,,15.0
2,0.0,-0.88062291175,-3.8559939483,0.0,0.2194311674,0.9756279838,"0,0000000000",-0.114243489,-0.9934527796,8.440007412,1.0875638927,CorneaFront,,15.0
3,0.0,-0.75536898315,-3.2990938542,0.0,0.2222494747,0.9749898312,"0,0000000000",-0.121035178,-0.9926482185,5.723775533,0.57081193185,CorneaBack/Aqueous,,15.0
4,0.0,-0.0033387027324,0.0,0.0,0.2222494747,0.9749898312,"0,0000000000",0.0,-1.0,12.84118991,3.3837212948,Pupil,,15.0
5,0.0,-0.0033385781853,5.4637763054e-07,0.0,0.209282889,0.9778551387,"0,0000000000",-0.0003273115,-0.9999999464,12.82243634,5.60393158e-07,LensFront,,15.0
6,0.0,0.66649658851,3.1297440384,0.0,0.2149787791,0.9766187202,"-0,0000000000",-0.1185771202,-0.9929448457,5.270339768,3.2006207955,LensBack/Vitreous,,15.0
7,0.0,4.2915970483,19.59807169,0.0,0.2149787791,0.9766187202,"-0,0000000000",-0.3604814072,-0.932766399,8.715481503,16.862596745,Retina,,15.0
OBJ,inf,inf,inf,0.0,0.4226182617,0.906307787,-----,,,,,,,25.0
1,0.0,-2.0223928676,-4.9065,0.0,0.4226182617,0.906307787,"0,0000000000",0.0,-1.0,25.0,-0.0,Inputbeam,,25.0
2,0.0,-1.4884795385,-3.7615191707,0.0,0.360690906,0.932685408,"0,0000000000",-0.192564025,-0.9812844115,13.897544274,1.2633465647,CorneaFront,,25.0
3,0.0,-1.2764091076,-3.2131410633,0.0,0.3651222182,0.9309595941,"0,0000000000",-0.2041229162,-0.9789452666,9.364472761,0.58795613469,CorneaBack/Aqueous,,25.0
4,0.0,-0.016215647017,0.0,0.0,0.3651222182,0.9309595941,"0,0000000000",0.0,-1.0,21.415104413,3.4514291316,Pupil,,25.0
5,0.0,-0.016210594886,1.2881521219e-05,0.0,0.3438871543,0.9390109824,"0,0000000000",-0.0015892677,-0.9999987371,21.324046042,1.3836820955e-05,LensFront,,25.0
6,0.0,1.1049680697,3.0614796041,0.0,0.3536142212,0.9353913526,"-0,0000000000",-0.1872323606,-0.9823156535,9.322566534,3.2603098153,LensBack/Vitreous,,25.0
7,0.0,6.8416334009,18.236285429,0.0,0.3536142212,0.9353913526,"-0,0000000000",-0.5746768879,-0.8183803972,14.368470515,16.222948589,Retina,,25.0
