Surf,X-coordinate,Y-coordinate,Z-coordinate,X-cosine,Y-cosine,Z-cosine,X-normal,Y-normal,Z-normal,Anglein,Pathlength,Comment,Unnamed: 13,InputAngle
4,0.0,-1.0337789236,0.0,0.0,0.9009108199,0.4340042564,"0,0000000000",0.0,-1.0,64.278049921,3.5023778038,PupilVignetted,,75.0
5,0.0,-0.94358931657,0.043447889039,0.0,0.8579102382,0.5137995943,"0,0000000000",-0.0912935195,-0.9958240273,59.040023238,0.1001093616,LensFront,,75.0
6,0.0,3.7284814023,2.8415355361,0.0,0.8742894968,0.4854048577,"-0,0000000000",-0.5278066538,-0.8493645485,27.225369395,5.4458736014,LensBack/Vitreous,,75.0
7,0.0,11.96172481,7.4126259576,0.0,0.8742894968,0.4854048577,"0,0000000000",-0.9968104008,0.0798061702,33.616425468,9.417067731,Retina,,75.0
OBJ,inf,inf,inf,0.0,0.1736481777,0.984807753,-----,,,,,,,10.0
1,0.0,-0.70395052,-4.55,0.0,0.1736481777,0.984807753,"0,0000000000",0.0,-1.0,10.0,-0.0,Inputbeam,,10.0
2,0.0,-0.5244794152,-3.5321687862,0.0,0.1447331697,0.9894707219,"0,0000000000",-0.0678970207,-0.9976923346,6.106792069,1.0335329009,CorneaFront,,10.0
3,0.0,-0.45165294999,-3.0342894455,0.0,0.1468963015,0.9891518976,"0,0000000000",-0.0694850692,-0.9975829916,4.337416104,0.50317743582,CorneaBack/Aqueous,,10.0
4,0.0,-0.0010387436361,0.0,0.0,0.1468963015,0.9891518976,"0,0000000000",0.0,-1.0,8.447105272,3.0675667233,Pupil,,10.0
5,0.0,-0.0010387357814,5.2890785176e-08,0.0,0.1383190741,0.9903877189,"0,0000000000",-0.0001018368,-0.9999999948,8.441270451,5.3470842348e-08,LensFront,,10.0
6,0.0,0.55403493658,3.9744204408,0.0,0.1412415122,0.989975169,"-0,0000000000",-0.09194799,-0.9957638109,2.674906506,4.0129944183,LensBack/Vitreous,,10.0
7,0.0,2.8444705333,20.028301003,0.0,0.1412415122,0.989975169,"-0,0000000000",-0.2370392111,-0.9715000836,5.592164266,16.21644771,Retina,,10.0
OBJ,inf,inf,inf,0.0,0.7660444431,0.6427876097,-----,,,,,,,50.0
1,0.0,-4.7578399962,-4.55,0.0,0.7660444431,0.6427876097,"0,0000000000",0.0,-1.0,50.0,-0.0,Inputbeam,,50.0
2,0.0,-2.8993605229,-2.9905505594,0.0,0.6666678089,0.7453549709,"0,0000000000",-0.3688621427,-0.9294841148,28.354540217,2.4260726515,CorneaFront,,50.0
3,0.0,-2.5038738807,-2.548384415,0.0,0.6741096749,0.7386312654,"0,0000000000",-0.3852113663,-0.9228283715,19.153539935,0.59322894694,CorneaBack/Aqueous,,50.0
4,0.0,-0.17809826029,0.0,0.0,0.6741096749,0.7386312654,"0,0000000000",0.0,-1.0,42.385049457,3.4501442525,Pupil,,50.0
5,0.0,-0.17670162075,0.0015303171983,0.0,0.6360403933,0.771655764,"0,0000000000",-0.0173155534,-0.9998500746,41.392891742,0.0020718283534,LensFront,,50.0
6,0.0,2.6402395834,3.4190945785,0.0,0.6497170495,0.7601761346,"-0,0000000000",-0.4027692344,-0.9153015589,15.745780043,4.4288715524,LensBack/Vitreous,,50.0
7,0.0,10.990172863,13.188608877,0.0,0.6497170495,0.7601761346,"-0,0000000000",-0.9158477386,-0.4015257397,25.806133443,12.85164563,Retina,,50.0
OBJ,inf,inf,inf,0.0,0.3420201433,0.9396926208,-----,,,,,,,20.0
1,0.0,-1.4530790163,-4.55,0.0,0.3420201433,0.9396926208,"0,0000000000",0.0,-1.0,20.0,-0.0,Inputbeam,,20.0
2,0.0,-1.0624075945,-3.4766390903,0.0,0.2865065402,0.9580782862,"0,0000000000",-0.1372799934,-0.9905322829,12.109518398,1.142246822,CorneaFront,,20.0
3,0.0,-0.91544975592,-2.9852118648,0.0,0.2906584805,0.956826864,"0,0000000000",-0.140838424,-0.9900325946,8.552557677,0.5129301359,CorneaBack/Aqueous,,20.0
4,0.0,-0.0086220139577,0.0,0.0,0.2906584805,0.956826864,"0,0000000000",0.0,-1.0,16.897382396,3.1199080806,Pupil,,20.0
5,0.0,-0.0086209072696,3.6431379342e-06,0.0,0.2737265932,0.9618075443,"0,0000000000",-0.000845186,-0.9999996428,16.848956797,3.8075205361e-06,LensFront,,20.0
6,0.0,1.1010124945,3.8989809573,0.0,0.2795604317,0.9601280983,"-0,0000000000",-0.1804884469,-0.9835771045,5.487930063,4.0538019663,LensBack/Vitreous,,20.0
7,0.0,5.5072674499,19.031913632,0.0,0.2795604317,0.9601280983,"-0,0000000000",-0.4589389542,-0.8884678027,11.084689668,15.761368407,Retina,,20.0
OBJ,inf,inf,inf,0.0,0.8660254038,0.5,-----,,,,,,,60.0
1,0.0,-6.9148695325,-4.55,0.0,0.8660254038,0.5,"0,0000000000",0.0,-1.0,60.0,-0.0,Inputbeam,,60.0
2,0.0,-3.6345802405,-2.6561240943,0.0,0.7701647966,0.6378449546,"0,0000000000",-0.4577940218,-0.8890582847,32.755148882,3.7877518115,CorneaFront,,60.0
3,0.0,-3.1361870848,-2.2433584613,0.0,0.77738122,0.6290297598,"0,0000000000",-0.4824903207,-0.8759013017,21.520514256,0.64712533977,CorneaBack/Aqueous,,60.0
4,0.0,-0.36375110663,0.0,0.0,0.77738122,0.6290297598,"0,0000000000",0.0,-1.0,51.021423802,3.5663788973,Pupil,,60.0
5,0.0,-0.35607512057,0.0062111401013,0.0,0.7349512662,0.6781199277,"0,0000000000",-0.0348429024,-0.9993928017,49.024668393,0.0098741593766,LensFront,,60.0
6,0.0,3.1028669547,3.1976847218,0.0,0.7503765793,0.6610105818,"-0,0000000000",-0.4593550222,-0.8882527589,19.957602235,4.7063556923,LensBack/Vitreous,,60.0
7,0.0,11.748597265,10.813752948,0.0,0.7503765793,0.6610105818,"-0,0000000000",-0.9790497721,-0.203621079,29.628200893,11.521855225,Retina,,60.0
OBJ,inf,inf,inf,0.0,0.0871557427,0.9961946981,-----,,,,,,,5.0
1,0.0,-0.34928114765,-4.55,0.0,0.0871557427,0.9961946981,"0,0000000000",0.0,-1.0,5.0,-0.0,Inputbeam,,5.0
2,0.0,-0.2614052041,-3.5455733691,0.0,0.072553021,0.9973645568,"0,0000000000",-0.0338557319,-0.9994267304,3.059838693,1.0082633775,CorneaFront,,5.0
3,0.0,-0.22507130101,-3.046102132,0.0,0.0736455285,0.997284481,"0,0000000000",-0.034626354,-0.999400328,2.176296967,0.50079104345,CorneaBack/Aqueous,,5.0
4,0.0,-0.00012866373547,0.0,0.0,0.0736455285,0.997284481,"0,0000000000",0.0,-1.0,4.223401563,3.0543964033,Pupil,,5.0
5,0.0,-0.00012866367554,8.1148732367e-10,0.0,0.069343115,0.9975928691,"0,0000000000",-1.26141e-05,-0.9999999999,4.222678829,8.1369693312e-10,LensFront,,5.0
6,0.0,0.27746712316,3.993584333,0.0,0.0708044942,0.9974902123,"-0,0000000000",-0.0461951515,-0.9989324341,1.328529308,4.0032206083,LensBack/Vitreous,,5.0
7,0.0,1.4338274323,20.284331177,0.0,0.0708044942,0.9974902123,"-0,0000000000",-0.1194856194,-0.9928359314,2.802221151,16.331736035,Retina,,5.0
OBJ,inf,inf,inf,0.0,0.4226182617,0.906307787,-----,,,,,,,25.0
1,0.0,-1.8616408965,-4.55,0.0,0.4226182617,0.906307787,"0,0000000000",0.0,-1.0,25.0,-0.0,Inputbeam,,25.0
2,0.0,-1.3407377476,-3.4329195922,0.0,0.3553877146,0.9347189804,"0,0000000000",-0.1729937096,-0.9849229292,15.038074499,1.2325618556,CorneaFront,,25.0
3,0.0,-1.1557670745,-2.9464210672,0.0,0.3604152634,0.9327919585,"0,0000000000",-0.1778103192,-0.9840647796,10.574965386,0.52047571001,CorneaBack/Aqueous,,25.0
4,0.0,-0.017319090239,0.0,0.0,0.3604152634,0.9327919585,"0,0000000000",0.0,-1.0,21.125700953,3.1587119081,Pupil,,25.0
5,0.0,-0.017313412795,1.4693813842e-05,0.0,0.3394617838,0.9406198474,"0,0000000000",-0.0016973858,-0.9999985594,21.028447867,1.5752509128e-05,LensFront,,25.0
6,0.0,1.3698162945,3.8436336099,0.0,0.3467334386,0.9379637107,"-0,0000000000",-0.2225758291,-0.9749153811,6.983717408,4.0862617632,LensBack/Vitreous,,25.0
7,0.0,6.7186876425,18.313098216,0.0,0.3467334386,0.9379637107,"-0,0000000000",-0.5598906369,-0.828566518,13.760587621,15.426465269,Retina,,25.0
OBJ,inf,inf,inf,0.0,0.7071067812,0.7071067812,-----,,,,,,,45.0
1,0.0,-3.992301786,-4.55,0.0,0.7071067812,0.7071067812,"0,0000000000",0.0,-1.0,45.0,-0.0,Inputbeam,,45.0
2,0.0,-2.5591387387,-3.1168369527,0.0,0.6098396251,0.7925248461,"0,0000000000",-0.326858196,-0.9450733938,25.921808696,2.0267986186,CorneaFront,,45.0
3,0.0,-2.2097929484,-2.6628401848,0.0,0.6171164838,0.78687181,"0,0000000000",-0.3399681459,-0.9404369515,17.70297436,0.57284862435,CorneaBack/Aqueous,,45.0
4,0.0,-0.12141902161,0.0,0.0,0.6171164838,0.78687181,"0,0000000000",0.0,-1.0,38.105869254,3.3840838506,Pupil,,45.0
5,0.0,-0.12085752402,0.00071595335677,0.0,0.5819151878,0.8132494785,"0,0000000000",-0.011846173,-0.9999298316,37.42711766,0.00090987292675,LensFront,,45.0
6,0.0,2.3979336475,3.5208261852,0.0,0.5944879567,0.804104514,"-0,0000000000",-0.3711149721,-0.9285869251,13.800962854,4.3284506478,LensBack/Vitreous,,45.0
7,0.0,10.404053264,14.349904977,0.0,0.5944879567,0.804104514,"-0,0000000000",-0.8670044387,-0.4983004147,23.636241805,13.46725283,Retina,,45.0
OBJ,inf,inf,inf,0.0,0.906307787,0.4226182617,-----,,,,,,,65.0
1,0.0,-8.5615188088,-4.55,0.0,0.906307787,0.4226182617,"0,0000000000",0.0,-1.0,65.0,-0.0,Inputbeam,,65.0
2,0.0,-4.0319498502,-2.4378273064,0.0,0.8162406261,0.5777120739,"0,0000000000",-0.5046837228,-0.8633043148,34.689640573,4.9978263714,CorneaFront,,65.0
3,0.0,-3.4746170901,-2.0433629115,0.0,0.823062166,0.5679512927,"0,0000000000",-0.5345564754,-0.8451327556,22.39637985,0.68280448472,CorneaBack/Aqueous,,65.0
4,0.0,-0.51342178102,0.0,0.0,0.823062166,0.5679512927,"0,0000000000",0.0,-1.0,55.392513627,3.5977784321,PupilVignetted,,65.0
5,0.0,-0.49596938882,0.012042964819,0.0,0.7794195983,0.6265022664,"0,0000000000",-0.0484454318,-0.9988258307,52.615707948,0.021204221159,LensFront,,65.0
6,0.0,3.3215649352,3.0806005318,0.0,0.7954246931,0.606052438,"-0,0000000000",-0.4843311027,-0.8748847827,22.238807671,4.8979193396,LensBack/Vitreous,,65.0
7,0.0,11.932483282,9.6414580245,0.0,0.7954246931,0.606052438,"-0,0000000000",-0.9943736068,-0.1059298354,31.223871617,10.825560762,Retina,,65.0
OBJ,inf,inf,inf,0.0,0.9961946981,0.0871557427,-----,,,,,,,85.0
1,0.0,-45.632218222,-4.55,0.0,0.9961946981,0.0871557427,"0,0000000000",0.0,-1.0,85.0,-0.0,Inputbeam,,85.0
2,0.0,-5.8124332115,-1.0662202275,0.0,0.954681367,0.2976297826,"0,0000000000",-0.7028877922,-0.7113007462,40.340846396,39.971890121,CorneaFront,,85.0
3,0.0,-4.9266440839,-0.79006816819,0.0,0.9583295734,0.2856648888,"0,0000000000",-0.7579452437,-0.6523181797,23.401313717,0.92783745263,CorneaBack/Aqueous,,85.0
4,0.0,-2.2761759292,0.0,0.0,0.9583295734,0.2856648888,"0,0000000000",0.0,-1.0,73.401403725,2.7657167515,PupilVignetted,,85.0
